offer_2012usd_acre_year,contract_years,allocation_family,p025,p50,p975,mean,p025_pct,p50_pct,p975_pct
50,5,FAMILY_01,0.4538414919531008,0.6037485042024783,0.7422371773314825,0.6018101962531894,45.38414919531007,60.37485042024782,74.22371773314825
100,5,FAMILY_01,0.7315547116274876,0.8307727795478703,0.9054225849357274,0.8271523330860003,73.15547116274877,83.07727795478704,90.54225849357273
200,5,FAMILY_01,0.9201085611209607,0.9644038980907443,0.9857030007468417,0.9616372031328084,92.01085611209608,96.44038980907443,98.57030007468417
300,5,FAMILY_01,0.9697892680235503,0.9883556942089458,0.9958813597957225,0.986818915204139,96.97892680235502,98.83556942089457,99.58813597957224
50,5,FAMILY_02,0.3958654938065101,0.5426017686797435,0.6924119662175796,0.5432590761381454,39.58654938065101,54.26017686797435,69.24119662175796
100,5,FAMILY_02,0.6776048896321051,0.7912814491054595,0.8820616905923581,0.7880250654077733,67.7604889632105,79.12814491054596,88.2061690592358
200,5,FAMILY_02,0.9012582481192835,0.955705173434451,0.9807892814922671,0.9520715351319781,90.12582481192834,95.5705173434451,98.07892814922671
300,5,FAMILY_02,0.9624388480854278,0.9842739115865822,0.9941688727891344,0.98257587820584,96.24388480854277,98.42739115865822,99.41688727891344
50,5,FAMILY_03,0.415410146945542,0.5655999140428842,0.7117306687890399,0.5648269799105813,41.54101469455419,56.55999140428843,71.173066878904
100,5,FAMILY_03,0.6984812504501723,0.8067313225496942,0.891310766731283,0.803518158335753,69.84812504501723,80.67313225496942,89.13107667312829
200,5,FAMILY_03,0.9088497839049309,0.9589383105477566,0.9823259767334807,0.9556658966229585,90.88497839049309,95.89383105477566,98.23259767334807
300,5,FAMILY_03,0.9648716320127324,0.9856041622280838,0.9947086673492967,0.983912693915737,96.48716320127323,98.56041622280839,99.47086673492967
50,5,FAMILY_BALANCED,0.4215941931920967,0.5706184278261235,0.7147616171433125,0.569965417433972,42.15941931920967,57.06184278261235,71.47616171433125
100,5,FAMILY_BALANCED,0.7028959038182758,0.8094766394177204,0.8926565749799578,0.806231852276509,70.28959038182758,80.94766394177203,89.26565749799578
200,5,FAMILY_BALANCED,0.9099914375204118,0.9598291423806962,0.9829115180981488,0.9564582116292484,90.99914375204118,95.98291423806961,98.29115180981488
300,5,FAMILY_BALANCED,0.9656747024657469,0.9861015778020115,0.9949167738160012,0.984435829108572,96.5674702465747,98.61015778020115,99.49167738160011
50,10,FAMILY_01,0.4253075475009545,0.5799641360532917,0.7242599728481359,0.5742237681539268,42.53075475009545,57.99641360532917,72.42599728481359
100,10,FAMILY_01,0.7029746515722105,0.8077607763881129,0.8882978305098336,0.8032718713336369,70.29746515722105,80.7760776388113,88.82978305098335
200,10,FAMILY_01,0.9080972914888893,0.9560028889112938,0.9798423170038303,0.9532311881836143,90.80972914888893,95.60028889112938,97.98423170038303
300,10,FAMILY_01,0.9639548162615122,0.9854381397474024,0.9941190890204351,0.983978172227741,96.39548162615122,98.54381397474023,99.4119089020435
50,10,FAMILY_02,0.3674598113860836,0.5187469956119755,0.6740899118623304,0.5151911830522077,36.74598113860836,51.87469956119754,67.40899118623304
100,10,FAMILY_02,0.647620575342344,0.76558826974808,0.8614889951042222,0.760518853967894,64.7620575342344,76.558826974808,86.14889951042221
200,10,FAMILY_02,0.8852094069994848,0.9459767692723666,0.9736367024807693,0.9417429112730438,88.52094069994848,94.59767692723666,97.36367024807693
300,10,FAMILY_02,0.9551323319396864,0.9810351730862691,0.9915825602445205,0.9790895860035586,95.51323319396865,98.1035173086269,99.15825602445206
50,10,FAMILY_03,0.3849099582558237,0.5400068035097116,0.6940594337300323,0.5366308339907572,38.49099582558237,54.00068035097117,69.40594337300323
100,10,FAMILY_03,0.6697585364908679,0.7817704305554125,0.8719830789416365,0.7773362281469597,66.97585364908679,78.17704305554125,87.19830789416365
200,10,FAMILY_03,0.8953919472405206,0.9501262322271651,0.975806180270226,0.9462433907831205,89.53919472405207,95.01262322271651,97.58061802702261
300,10,FAMILY_03,0.9581056894452876,0.9823093110768578,0.9924362366926017,0.9806322806352328,95.81056894452877,98.23093110768578,99.24362366926017
50,10,FAMILY_BALANCED,0.3931632245141887,0.5459836083596206,0.6977426744896322,0.5420152617322973,39.31632245141887,54.59836083596205,69.77426744896323
100,10,FAMILY_BALANCED,0.6737416377623964,0.7847834044337783,0.8735201439935225,0.7803756511494969,67.37416377623964,78.47834044337783,87.35201439935226
200,10,FAMILY_BALANCED,0.8967706695048702,0.950821412830023,0.9765922992287853,0.9470724967465929,89.67706695048702,95.0821412830023,97.65922992287854
300,10,FAMILY_BALANCED,0.9587956857131387,0.9829115181560524,0.9927126286525191,0.9812333462888442,95.87956857131387,98.29115181560523,99.27126286525191
